rank,title,singer,album,date,like,week
73,I Love You,안세하,I Love You,2024.01.08 ~ 2024.01.14,19431,2
74,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.08 ~ 2024.01.14,262546,2
75,모래 알갱이,임영웅,모래 알갱이,2024.01.08 ~ 2024.01.14,59551,2
76,Do or Die,임영웅,Do or Die,2024.01.08 ~ 2024.01.14,42008,2
77,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.08 ~ 2024.01.14,561683,2
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.08 ~ 2024.01.14,34647,2
79,다시 만날 수 있을까,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,84919,2
80,화이트 (White),폴킴,화이트 (White),2024.01.08 ~ 2024.01.14,18812,2
81,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.08 ~ 2024.01.14,174414,2
82,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.08 ~ 2024.01.14,265314,2
83,Butter,방탄소년단,Butter,2024.01.08 ~ 2024.01.14,296560,2
84,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.08 ~ 2024.01.14,109920,2
85,무지개,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,74095,2
86,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.08 ~ 2024.01.14,33804,2
87,아버지,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,59512,2
88,London Boy,임영웅,Polaroid,2024.01.08 ~ 2024.01.14,60771,2
89,Polaroid,임영웅,Polaroid,2024.01.08 ~ 2024.01.14,54678,2
90,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.08 ~ 2024.01.14,283160,2
91,인생찬가,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,54561,2
92,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.08 ~ 2024.01.14,133841,2
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.08 ~ 2024.01.14,245724,2
94,숲,최유리,유영,2024.01.08 ~ 2024.01.14,113635,2
95,A bientot,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,55636,2
96,꽃,지수 (JISOO),ME,2024.01.08 ~ 2024.01.14,123493,2
97,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.08 ~ 2024.01.14,59974,2
98,Yes or No,정국,GOLDEN,2024.01.08 ~ 2024.01.14,38692,2
99,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.08 ~ 2024.01.14,31225,2
100,희재,성시경,국화꽃 향기 OST,2024.01.08 ~ 2024.01.14,161660,2
1,비의 랩소디,임재현,비의 랩소디,2024.01.15 ~ 2024.01.21,68851,3
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.15 ~ 2024.01.21,143853,3
3,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.15 ~ 2024.01.21,114170,3
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.15 ~ 2024.01.21,85774,3
5,헤어지자 말해요,박재정,1집 Alone,2024.01.15 ~ 2024.01.21,169684,3
6,에피소드,이무진,에피소드,2024.01.15 ~ 2024.01.21,68377,3
7,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.15 ~ 2024.01.21,98172,3
8,인사,범진,인사,2024.01.15 ~ 2024.01.21,107804,3
9,Baddie,IVE (아이브),I'VE MINE,2024.01.15 ~ 2024.01.21,68639,3
10,Love 119,RIIZE,Love 119,2024.01.15 ~ 2024.01.21,95244,3
11,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.15 ~ 2024.01.21,287034,3
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.15 ~ 2024.01.21,208101,3
13,I AM,IVE (아이브),I've IVE,2024.01.15 ~ 2024.01.21,213112,3
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.15 ~ 2024.01.21,121177,3
15,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.15 ~ 2024.01.21,69406,3
16,Get A Guitar,RIIZE,Get A Guitar,2024.01.15 ~ 2024.01.21,90265,3
17,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.15 ~ 2024.01.21,125260,3
18,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.15 ~ 2024.01.21,295856,3
19,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15 ~ 2024.01.21,162141,3
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.15 ~ 2024.01.21,85716,3
21,Ditto,NewJeans,NewJeans 'OMG',2024.01.15 ~ 2024.01.21,281577,3
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.15 ~ 2024.01.21,79683,3
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.15 ~ 2024.01.21,287887,3
24,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15 ~ 2024.01.21,120568,3
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.15 ~ 2024.01.21,143711,3
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.15 ~ 2024.01.21,212171,3
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.15 ~ 2024.01.21,436833,3
