rank,title,singer,album,date,like
20,쉬어 (Feat. MINO) (Prod. GRAY),쇼미더머니 10 Episode 1,"아넌딜라이트(Anandelight), unofficialboyy, BE'O (비오), 지구인, Mudd the student",2022.01.03 ~ 2022.01.09,108721
21,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),쇼미더머니 10 Final,BE'O (비오),2022.01.03 ~ 2022.01.09,89461
22,너를 생각해,너를 생각해,주시크 (Joosiq),2022.01.03 ~ 2022.01.09,158597
23,Wake Up (Prod. 코드 쿤스트),쇼미더머니 10 Episode 1,"개코, 아우릴고트 (OUREALGOAT), SINCE, 안병웅, Tabber, 조광일, 코드 쿤스트 (CODE KUNST)",2022.01.03 ~ 2022.01.09,102902
24,OHAYO MY NIGHT,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",2022.01.03 ~ 2022.01.09,221460
25,정거장,조각집,아이유,2022.01.03 ~ 2022.01.09,58451
26,바라만 본다,MSG워너비 1집,MSG워너비(M.O.M),2022.01.03 ~ 2022.01.09,186121
27,문득,Bipolar,BE'O (비오),2022.01.03 ~ 2022.01.09,141799
28,낙하 (with 아이유),NEXT EPISODE,AKMU (악뮤),2022.01.03 ~ 2022.01.09,191285
29,Butter,Butter,방탄소년단,2022.01.03 ~ 2022.01.09,296561
30,Step Back,Step Back,GOT the beat,2022.01.03 ~ 2022.01.09,99664
31,Christmas Tree,그 해 우리는 OST Part.5,V,2022.01.03 ~ 2022.01.09,136332
32,Permission to Dance,Butter / Permission to Dance,방탄소년단,2022.01.03 ~ 2022.01.09,230589
33,러브레터,조각집,아이유,2022.01.03 ~ 2022.01.09,48569
34,Celebrity,IU 5th Album 'LILAC',아이유,2022.01.03 ~ 2022.01.09,340901
35,My Universe,My Universe,"Coldplay, 방탄소년단",2022.01.03 ~ 2022.01.09,179347
36,우리가 헤어져야 했던 이유,그 해 우리는 OST Part.2,비비 (BIBI),2022.01.03 ~ 2022.01.09,85420
37,Dynamite,Dynamite (DayTime Version),방탄소년단,2022.01.03 ~ 2022.01.09,462975
38,헤픈 우연,HAPPEN,헤이즈 (Heize),2022.01.03 ~ 2022.01.09,199467
39,Still I Love You,Still I Love You,토요태,2022.01.03 ~ 2022.01.09,32913
40,Weekend,Weekend,태연 (TAEYEON),2022.01.03 ~ 2022.01.09,199257
41,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스,2022.01.03 ~ 2022.01.09,42420
42,너,조각집,아이유,2022.01.03 ~ 2022.01.09,42990
43,라일락,IU 5th Album 'LILAC',아이유,2022.01.03 ~ 2022.01.09,259885
44,밤하늘의 별을(2020),밤하늘의 별을(2020),경서,2022.01.03 ~ 2022.01.09,230550
45,Bad Habits,=,Ed Sheeran,2022.01.03 ~ 2022.01.09,137963
46,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,2022.01.03 ~ 2022.01.09,174401
47,고백,세 번째 '고백',멜로망스,2022.01.03 ~ 2022.01.09,110498
48,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),쇼미더머니 10 Semi Final,BE'O (비오),2022.01.03 ~ 2022.01.09,54904
49,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,AKMU (악뮤),2022.01.03 ~ 2022.01.09,436770
50,서랍,그 해 우리는 OST Part.1,10CM,2022.01.03 ~ 2022.01.09,97666
51,찰나가 영원이 될 때 (The Eternal Moment),Red Moon : Beyond The Light,마크툽 (MAKTUB),2022.01.03 ~ 2022.01.09,98148
52,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",사이렌 Remix,호미들,2022.01.03 ~ 2022.01.09,172371
53,안녕 우린 헤어져야만 해,안녕 우린 헤어져야만 해,"전상근, 신예영",2022.01.03 ~ 2022.01.09,33060
