rank,title,singer,album,date,like,year,month,day,week,season
24,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.29,79716,2023,1,29,1,1
29,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,2024.01.29,36995,2023,1,29,1,1
30,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.29,120579,2023,1,29,1,1
32,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.29,301222,2023,1,29,1,1
33,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.29,436857,2023,1,29,1,1
34,Standing Next to You,정국,GOLDEN,2024.01.29,69126,2023,1,29,1,1
37,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.29,37937,2023,1,29,1,1
38,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.29,76423,2023,1,29,1,1
39,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.29,56143,2023,1,29,1,1
41,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.29,39838,2023,1,29,1,1
43,Super Lady,(여자)아이들,2,2024.01.29,34980,2023,1,29,1,1
46,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.29,262713,2023,1,29,1,1
48,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.29,89123,2023,1,29,1,1
51,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.29,58526,2023,1,29,1,1
54,I Love You,안세하,I Love You,2024.01.29,19440,2023,1,29,1,1
55,Fast Forward,전소미,GAME PLAN,2024.01.29,76086,2023,1,29,1,1
56,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.29,27279,2023,1,29,1,1
58,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.29,172300,2023,1,29,1,1
61,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,2024.01.29,114367,2023,1,29,1,1
64,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,2024.01.29,22422,2023,1,29,1,1
