rank,title,singer,album,date,like,month,year,season
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.08.02,135142,1,2024,winter
61,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.08.02,43042,1,2024,winter
62,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.08.02,171550,1,2024,winter
63,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.08.02,42790,1,2024,winter
64,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.08.02,301222,1,2024,winter
65,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08.02,239228,1,2024,winter
66,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.08.02,209035,1,2024,winter
67,우리들의 블루스,임영웅,IM HERO,2024.01.08.02,104437,1,2024,winter
68,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.08.02,463005,1,2024,winter
69,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08.02,122400,1,2024,winter
70,나에게 그대만이,탑현,나에게 그대만이,2024.01.08.02,51314,1,2024,winter
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.08.02,27279,1,2024,winter
72,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.08.02,46175,1,2024,winter
73,I Love You,안세하,I Love You,2024.01.08.02,19440,1,2024,winter
74,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.08.02,262712,1,2024,winter
75,모래 알갱이,임영웅,모래 알갱이,2024.01.08.02,59564,1,2024,winter
76,Do or Die,임영웅,Do or Die,2024.01.08.02,42018,1,2024,winter
77,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.08.02,561706,1,2024,winter
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.08.02,34652,1,2024,winter
79,다시 만날 수 있을까,임영웅,IM HERO,2024.01.08.02,84925,1,2024,winter
80,화이트 (White),폴킴,화이트 (White),2024.01.08.02,18814,1,2024,winter
81,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.08.02,174425,1,2024,winter
82,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.08.02,265321,1,2024,winter
83,Butter,방탄소년단,Butter,2024.01.08.02,296563,1,2024,winter
84,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.08.02,109937,1,2024,winter
85,무지개,임영웅,IM HERO,2024.01.08.02,74103,1,2024,winter
86,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.08.02,33824,1,2024,winter
87,아버지,임영웅,IM HERO,2024.01.08.02,59517,1,2024,winter
88,London Boy,임영웅,Polaroid,2024.01.08.02,60778,1,2024,winter
89,Polaroid,임영웅,Polaroid,2024.01.08.02,54686,1,2024,winter
90,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.08.02,283178,1,2024,winter
91,인생찬가,임영웅,IM HERO,2024.01.08.02,54561,1,2024,winter
92,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.08.02,133867,1,2024,winter
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.08.02,245738,1,2024,winter
94,숲,최유리,유영,2024.01.08.02,113667,1,2024,winter
95,A bientot,임영웅,IM HERO,2024.01.08.02,55639,1,2024,winter
96,꽃,지수 (JISOO),ME,2024.01.08.02,123506,1,2024,winter
97,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.08.02,59980,1,2024,winter
98,Yes or No,정국,GOLDEN,2024.01.08.02,38696,1,2024,winter
99,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.08.02,31234,1,2024,winter
100,희재,성시경,국화꽃 향기 OST,2024.01.08.02,161671,1,2024,winter
1,비의 랩소디,임재현,비의 랩소디,2024.01.15.03,68931,1,2024,winter
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.15.03,143931,1,2024,winter
3,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.15.03,114191,1,2024,winter
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.15.03,85818,1,2024,winter
5,헤어지자 말해요,박재정,1집 Alone,2024.01.15.03,169714,1,2024,winter
6,에피소드,이무진,에피소드,2024.01.15.03,68436,1,2024,winter
