rank,title,singer,album,date,like,year,month,day,week,season
16,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.04.13,345230,2015,4,13,3,0
83,꽃송이가,버스커 버스커,버스커 버스커 1집,2015.04.13,102898,2015,4,13,3,0
19,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.04.13,234205,2015,4,13,3,0
28,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.04.13,177245,2015,4,13,3,0
22,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.04.20,345230,2015,4,20,4,0
18,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.04.20,177245,2015,4,20,4,0
20,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.04.20,234206,2015,4,20,4,0
28,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.04.27,345231,2015,4,27,5,0
11,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.04.27,177245,2015,4,27,5,0
24,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.04.27,234206,2015,4,27,5,0
34,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.05.04,345231,2015,5,4,1,0
7,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.05.04,177245,2015,5,4,1,0
28,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.05.04,234206,2015,5,4,1,0
40,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.05.11,345231,2015,5,11,2,0
4,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.05.11,177245,2015,5,11,2,0
32,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.05.11,234206,2015,5,11,2,0
54,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.05.18,345231,2015,5,18,3,0
6,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.05.18,177245,2015,5,18,3,0
38,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.05.18,234206,2015,5,18,3,0
66,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2015.05.25,345231,2015,5,25,4,0
43,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2015.05.25,234206,2015,5,25,4,0
6,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2015.05.25,177245,2015,5,25,4,0
40,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.11.30,171261,2015,11,30,1,1
35,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.12.07,171261,2015,12,7,2,1
23,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.12.14,171261,2015,12,14,3,1
94,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2015.12.21,180205,2015,12,21,4,1
15,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.12.21,171261,2015,12,21,4,1
75,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2015.12.21,236566,2015,12,21,4,1
34,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2015.12.28,171261,2015,12,28,5,1
57,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2016.01.04,171261,2015,1,4,1,1
77,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2016.01.11,171261,2015,1,11,2,1
99,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2016.01.18,171261,2015,1,18,3,1
75,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.02.29,345228,2015,2,29,1,1
74,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2016.03.07,234205,2016,3,7,2,0
78,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2016.03.07,177245,2016,3,7,2,0
25,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.03.07,345228,2016,3,7,2,0
43,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2016.03.14,234205,2016,3,14,3,0
14,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.03.14,345229,2016,3,14,3,0
64,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2016.03.14,177245,2016,3,14,3,0
59,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2016.03.21,177245,2016,3,21,4,0
13,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.03.21,345229,2016,3,21,4,0
76,꽃송이가,버스커 버스커,버스커 버스커 1집,2016.03.21,102898,2016,3,21,4,0
37,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2016.03.21,234205,2016,3,21,4,0
10,봄이 좋냐??,10CM,3.2,2016.03.28,191569,2016,3,28,5,0
12,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.03.28,345229,2016,3,28,5,0
67,여수 밤바다,버스커 버스커,버스커 버스커 1집,2016.03.28,158070,2016,3,28,5,0
