rank,title,singer,album,date,like
71,나에게 그대만이,탑현,나에게 그대만이,2024.01.15.03,51314
72,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.15.03,42790
73,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.15.03,561706
74,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.15.03,122400
75,모래 알갱이,임영웅,모래 알갱이,2024.01.15.03,59564
76,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.15.03,46175
77,다시 만날 수 있을까,임영웅,IM HERO,2024.01.15.03,84925
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.15.03,34652
79,Do or Die,임영웅,Do or Die,2024.01.15.03,42018
80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.15.03,174425
81,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.15.03,109937
82,Butter,방탄소년단,Butter,2024.01.15.03,296563
83,화이트 (White),폴킴,화이트 (White),2024.01.15.03,18814
84,무지개,임영웅,IM HERO,2024.01.15.03,74103
85,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,2024.01.15.03,22422
86,아버지,임영웅,IM HERO,2024.01.15.03,59517
87,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.15.03,265321
88,London Boy,임영웅,Polaroid,2024.01.15.03,60778
89,Polaroid,임영웅,Polaroid,2024.01.15.03,54686
90,인생찬가,임영웅,IM HERO,2024.01.15.03,54561
91,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.15.03,33824
92,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.15.03,283178
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.15.03,245738
94,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.15.03,133867
95,숲,최유리,유영,2024.01.15.03,113667
96,A bientot,임영웅,IM HERO,2024.01.15.03,55639
97,희재,성시경,국화꽃 향기 OST,2024.01.15.03,161671
98,Yes or No,정국,GOLDEN,2024.01.15.03,38696
99,Talk Saxy,RIIZE,Talk Saxy,2024.01.15.03,50088
100,꽃,지수 (JISOO),ME,2024.01.15.03,123506
1,비의 랩소디,임재현,비의 랩소디,2024.01.22.04,68931
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.22.04,143931
3,Love wins all,아이유,The Winning,2024.01.22.04,160797
4,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.22.04,114191
5,Drama,aespa,Drama - The 4th Mini Album,2024.01.22.04,85818
6,에피소드,이무진,에피소드,2024.01.22.04,68436
7,Love 119,RIIZE,Love 119,2024.01.22.04,95314
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.22.04,98248
9,헤어지자 말해요,박재정,1집 Alone,2024.01.22.04,169714
10,인사,범진,인사,2024.01.22.04,107860
11,Baddie,IVE (아이브),I'VE MINE,2024.01.22.04,68660
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.22.04,208123
13,I AM,IVE (아이브),I've IVE,2024.01.22.04,213131
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.22.04,121202
15,Get A Guitar,RIIZE,Get A Guitar,2024.01.22.04,90308
16,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.22.04,287040
17,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.22.04,69423
18,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.22.04,295879
19,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.22.04,125291
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.22.04,85750
21,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.22.04,162158
22,Ditto,NewJeans,NewJeans 'OMG',2024.01.22.04,281588
