rank,title,singer,album,date,like
79,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.02.26.05,561706
82,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.02.26.05,463005
83,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.26.05,239228
84,다시 만날 수 있을까,임영웅,IM HERO,2024.02.26.05,84925
85,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.02.26.05,174425
90,Butter,방탄소년단,Butter,2024.02.26.05,296563
91,무지개,임영웅,IM HERO,2024.02.26.05,74103
95,아버지,임영웅,IM HERO,2024.02.26.05,59517
96,London Boy,임영웅,Polaroid,2024.02.26.05,60778
97,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.26.05,135142
99,Polaroid,임영웅,Polaroid,2024.02.26.05,54686
100,인생찬가,임영웅,IM HERO,2024.02.26.05,54561
24,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.03.04.01,295879
31,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.03.04.01,206592
32,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.03.04.01,212198
35,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.03.04.01,287894
38,Ditto,NewJeans,NewJeans 'OMG',2024.03.04.01,281588
40,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.03.04.01,322187
42,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.03.04.01,436857
47,취중고백,김민석,취중고백,2024.03.04.01,183412
50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.03.04.01,438895
51,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.03.04.01,202590
52,주저하는 연인들을 위해,잔나비,전설,2024.03.04.01,416855
54,해요 (2022),#안녕,해요 (2022),2024.03.04.01,97912
56,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.03.04.01,249361
61,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.03.04.01,188432
65,After LIKE,IVE (아이브),After LIKE,2024.03.04.01,241598
70,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.03.04.01,287040
73,우리들의 블루스,임영웅,IM HERO,2024.03.04.01,104437
74,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.03.04.01,561706
81,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.03.04.01,463005
83,다시 만날 수 있을까,임영웅,IM HERO,2024.03.04.01,84925
85,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.03.04.01,174425
88,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.03.04.01,239228
89,Butter,방탄소년단,Butter,2024.03.04.01,296563
90,무지개,임영웅,IM HERO,2024.03.04.01,74103
93,아버지,임영웅,IM HERO,2024.03.04.01,59517
94,London Boy,임영웅,Polaroid,2024.03.04.01,60778
97,Polaroid,임영웅,Polaroid,2024.03.04.01,54686
99,인생찬가,임영웅,IM HERO,2024.03.04.01,54561
25,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.03.11.02,295879
28,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.03.11.02,206592
33,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.03.11.02,287894
34,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.03.11.02,212198
39,Ditto,NewJeans,NewJeans 'OMG',2024.03.11.02,281588
42,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.03.11.02,322187
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.03.11.02,436857
48,취중고백,김민석,취중고백,2024.03.11.02,183412
49,주저하는 연인들을 위해,잔나비,전설,2024.03.11.02,416855
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.03.11.02,438895
53,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.03.11.02,202590
54,해요 (2022),#안녕,해요 (2022),2024.03.11.02,97912
55,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.03.11.02,249361
60,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.03.11.02,188432
61,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.03.11.02,561706
65,After LIKE,IVE (아이브),After LIKE,2024.03.11.02,241598
72,우리들의 블루스,임영웅,IM HERO,2024.03.11.02,104437
78,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.03.11.02,287040
79,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.03.11.02,463005
83,다시 만날 수 있을까,임영웅,IM HERO,2024.03.11.02,84925
84,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.03.11.02,174425
